Model Name,F1 Score,Recall,Precision
flat_Neighborhood,0.990891796912987,0.985247632970865,0.9967069596262341
flat_Class,0.9935281644786097,0.9909241632393995,0.9963301193020621
flat_Subclass,0.9907829235746691,0.9881816759542649,0.9940122979197952
flat_Group,0.9860478037198639,0.9853768985395713,0.9874064791270504
flat_Cluster,0.2931470960124914,0.29765744522757465,0.33039563188895943
