Group
STRd D1 Matrix MSN
STRd D1 Striosome MSN
STRd D2 Matrix MSN
STRd D2 Striosome MSN
STRv D1 MSN
STRv D2 MSN
STRd D2 StrioMat Hybrid MSN
STR D1D2 Hybrid MSN
STRv D1 NUDAP MSN
OT D1 ICj
GPe MEIS2-SOX6 GABA
AMY-SLEA-BNST GABA
AMY-SLEA-BNST D1 GABA
SN SEMA5A GABA
SN EBF2 GABA
OB FRMD7 GABA
OB Dopa-GABA
GPi Shell
GPi Core
SN GATA3-PVALB GABA
GPe SOX6-CTXND1 GABA
ZI-HTH GABA
SN-VTR-HTH GATA3-TCF7L2 GABA
SN GATA3-PAX8 GABA
GPe-NDB-SI LHX6-LHX8-GBX1 GABA
VIP GABA
LAMP5-CXCL14 GABA
STR SST-CHODL GABA
STR SST-RSPO2 GABA
STR LYPD6-RSPO2 GABA
STR SST-ADARB2 GABA
LAMP5-LHX6 GABA
STR FS PTHLH-PVALB GABA
STR TAC3-PLPP4 GABA
STR-BF TAC3-PLPP4-LHX8 GABA
GPin-BF Cholinergic GABA
STR Cholinergic GABA
STRd Cholinergic GABA
SN-VTR GAD2 Dopa
SN SOX6 Dopa
SN-VTR CALB1 Dopa
BF SKOR1 Glut
VTR-HTH Glut
STH PVALB-PITX2 Glut
OPC
COP
ImOligo
Oligo PLEKHG1
Oligo OPALIN
ImAstro
Astrocyte
Ependymal
Microglia
BAM
Monocyte
B cells
T cells
VLMC
SMC
Pericyte
Endo
